name,type,value,date
Excitebike,Nintendo,4.16,1984
Frogger,Hasbro Interactive,4.16,1997
Madden NFL 2003,Electronic Arts,4.14,2002
Watch Dogs,Ubisoft,4.14,2014
Half-Life,Vivendi Games,4.12,1997
Super Mario World 2: Yoshi's Island,Nintendo,4.12,1995
FIFA Soccer 07,Electronic Arts,4.11,2006
The Legend of Zelda: Skyward Sword,Nintendo,4.1,2011
Street Fighter II Turbo,Capcom,4.1,1992
Carnival Games,Take-Two Interactive,4.1,2007
Fallout 4,Bethesda Softworks,4.09,2015
World of Warcraft: The Burning Crusade,Activision,4.09,2007
Fallout: New Vegas,Bethesda Softworks,4.08,2010
God of War II,Sony Computer Entertainment,4.07,2007
Forza Motorsport 2,Microsoft Game Studios,4.06,2007
World Soccer Winning Eleven 9,Konami Digital Entertainment,4.06,2005
Namco Museum Vol.3,Sony Computer Entertainment,4.05,1996
Tekken Tag Tournament,Namco Bandai Games,4.05,2000
Far Cry 4,Ubisoft,4.03,2014
Star Fox 64,Nintendo,4.03,1997
Minecraft,Sony Computer Entertainment Europe,4.02,2014
Golf,Nintendo,4.01,1984
Fallout 3,Bethesda Softworks,4.01,2008
Professor Layton and the Diabolical Box,Nintendo,4,2007
Left 4 Dead 2,Electronic Arts,3.99,2009
Namco Museum: 50th Anniversary,Namco Bandai Games,3.98,2005
EA Sports Active,Electronic Arts,3.92,2009
Assassin's Creed: Unity,Ubisoft,3.92,2014
Donkey Kong Land,Nintendo,3.91,1994
Tony Hawk's Underground,Activision,3.9,2003
Assassin's Creed IV: Black Flag,Ubisoft,3.89,2013
Monster Hunter 4 Ultimate,Nintendo,3.89,2014
MotorStorm,Sony Computer Entertainment,3.88,2006
The Elder Scrolls V: Skyrim,Bethesda Softworks,3.88,2011
Tekken 5,Namco Bandai Games,3.87,2005
Dragon Warrior III,Enix Corporation,3.87,1988
Sports Champions,Sony Computer Entertainment,3.87,2010
NBA 2K16,Take-Two Interactive,3.85,2015
World Soccer Winning Eleven 8 International,Konami Digital Entertainment,3.85,2004
Flash Focus: Vision Training in Minutes a Day,Nintendo,3.84,2007
Namco Museum Vol.1,Sony Computer Entertainment,3.84,1995
The Legend of Zelda: Link's Awakening,Nintendo,3.83,1992
Mario & Luigi: Bowser's Inside Story,Nintendo,3.83,2009
Big Brain Academy: Wii Degree,Nintendo,3.82,2007
Nintendogs + cats,Nintendo,3.81,2011
Batman: Arkham Knight,Warner Bros. Interactive Entertainment,3.79,2015
Mario & Sonic at the London 2012 Olympic Games,Sega,3.78,2011
LEGO Indiana Jones: The Original Adventures,Activision,3.78,2008
