name,type,value,date
Last Bronx,Sega,0.13,1996
Iridion II,Vivendi Games,0.13,2003
Momotaro Douchuuki,Hudson Soft,0.13,1997
Brothers: A Tale of Two Sons,505 Games,0.13,2015
Tom Clancy's Splinter Cell: Double Agent,Ubisoft,0.13,2006
Whiplash,Eidos Interactive,0.13,2003
BlazBlue: Continuum Shift II,PQube,0.13,2011
Backyard Sports Football: Rookie Rush,Atari,0.13,2010
Warcraft III: Reign of Chaos,Vivendi Games,0.13,2002
Farming Simulator 2011,N/A,0.13,2010
Margot's Word Brain,Zoo Digital Publishing,0.13,2008
Spider-Man: Battle for New York,Activision,0.13,2006
Imagine: Fashion Designer,Ubisoft,0.13,2011
Pop'n Music Portable,Konami Digital Entertainment,0.13,2010
Nintendo Puzzle Collection,Unknown,0.13,N/A
Borderlands: Double Game Add-On Pack,Take-Two Interactive,0.13,2010
Otogi: Myth of Demons,Sega,0.13,2002
The Price is Right 2010 Edition,Ubisoft,0.13,2009
Army Men: Soldiers of Misfortune,Zoo Games,0.13,2008
Alter Echo,THQ,0.13,2003
Walt Disney Pictures Presents: The Wild,Disney Interactive Studios,0.13,2006
Puzzle de Harvest Moon,Natsume,0.13,2007
Reader Rabbit Kindergarten,Graffiti,0.13,2010
Onechanbara: Bikini Samurai Squad,D3Publisher,0.13,2006
Metal Max 3,Enterbrain,0.13,2010
Rock Band Track Pack Volume 1,MTV Games,0.13,2008
Puyo Puyo!! 20th Anniversary,Sega,0.13,2011
Hour of Victory,Midway Games,0.13,2007
Namco Soccer Prime Goal,Sony Computer Entertainment,0.13,1995
NBA 08,Sony Computer Entertainment,0.13,2007
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,Square Enix,0.13,2016
Monster Hunter Frontier Online,Capcom,0.13,2010
Green Lantern: Rise of the Manhunters,Warner Bros. Interactive Entertainment,0.13,2011
Shin Megami Tensei: Digital Devil Saga,Ghostlight,0.13,2004
7 Wonders of the Ancient World,Funsta,0.13,2007
Backyard Baseball '09,Atari,0.13,2008
Puppies 3D,Ubisoft,0.13,2011
Jissen Pachi-Slot Hisshouhou! Aladdin II Evolution,Sega,0.13,2005
Mystic Ark,Enix Corporation,0.13,1995
Just Cause 2,Square Enix,0.13,2010
Ty the Tasmanian Tiger 2: Bush Rescue,Electronic Arts,0.13,2004
Venetica,DTP Entertainment,0.13,2010
Teenage Mutant Ninja Turtles 2: Battle Nexus,Konami Digital Entertainment,0.13,2004
LEGO Racers 2,Electronic Arts,0.13,2001
Backyard Baseball,Infogrames,0.13,2003
Transformers: War for Cybertron -- Decepticons,Activision,0.13,2010
Overlord: Raising Hell,Codemasters,0.13,2008
Sega GT,Sega,0.13,2000
Fuse (Insomniac),Electronic Arts,0.13,2013
Cabela's Dangerous Hunts 2009,Activision Value,0.13,2008
Legends of Wrestling,Acclaim Entertainment,0.13,2002
Space Bust-A-Move,Square Enix,0.13,2008
Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros. Interactive Entertainment,0.13,2010
Gunstar Heroes,Sega,0.13,1992
All-Star Baseball 2004,Acclaim Entertainment,0.13,2003
Tamagotchi no Pichi Pichi Omisecchi,Namco Bandai Games,0.13,2010
Shining Wind,Sega,0.13,2007
Brothers in Arms: Double Time,Ubisoft,0.13,2008
Portal Runner,3DO,0.13,2001
Pokémon: For Ho-Oh the Bells Toll!: Game Boy Advance Video,Nintendo,0.13,2004
Pro Evolution Soccer 2016,Konami Digital Entertainment,0.13,2015
Batman: Arkham Knight,Warner Bros. Interactive Entertainment,0.13,2015
Warriors Orochi 2,Tecmo Koei,0.13,2008
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,Ubisoft,0.13,2005
Need for Speed: ProStreet,Electronic Arts,0.13,2007
Assault: Retribution,Telstar,0.13,1998
Sengoku Basara 3 Utage,Capcom,0.13,2011
Spartan: Total Warrior,Sega,0.13,2005
Gravity Rush Remastered,Sony Computer Entertainment,0.13,2015
Rock Band Track Pack Volume 2,MTV Games,0.13,2008
City Crisis,Take-Two Interactive,0.13,2001
Zapper: One Wicked Cricket!,Infogrames,0.13,2002
Star Wars: Clone Wars,LucasArts,0.13,2003
Assassination Classroom: Grand Siege on Kuro-sensei,Namco Bandai Games,0.13,2015
Dynasty Warriors 5 Empires,Tecmo Koei,0.13,2006
High Rollers Casino,Mud Duck Productions,0.13,2004
Advent Rising,THQ,0.13,2005
Surf Riders,Ubisoft,0.13,1999
Torino 2006,Take-Two Interactive,0.13,2006
Nobunaga no Yabou: Ranseiki,Tecmo Koei,0.13,2002
Derby Stallion Advance,Enterbrain,0.13,2002
PBR: Out of the Chute,Crave Entertainment,0.13,2008
Monopoly Party,Infogrames,0.13,2002
LEGO Batman 2: DC Super Heroes,Warner Bros. Interactive Entertainment,0.13,2013
Thor: God of Thunder,Sega,0.13,2011
TOCA Race Driver 2: Ultimate Racing Simulator,Codemasters,0.13,2004
The Price is Right: Decades,Ubisoft,0.13,2011
Snood,"Destination Software, Inc",0.13,2001
The Sky Crawlers: Innocent Aces,Namco Bandai Games,0.13,2008
Avatar: The Last Airbender - Into the Inferno,THQ,0.13,2008
Fit in Six,Ubisoft,0.13,2011
Monster Jam: Urban Assault,Activision,0.13,2008
Ice Age: Dawn of the Dinosaurs,Activision,0.13,2009
DT Racer,XS Games,0.13,2005
SimAnimals Africa,Electronic Arts,0.13,2009
Deepak Chopra's Leela,THQ,0.13,2011
Twister Mania,505 Games,0.13,2011
World Cup Golf: Professional Edition,U.S. Gold,0.13,1995
Black Dawn,Virgin Interactive,0.13,1996
Soccer Tsuku: Pro Soccer Club o Tsukurou!,Sega,0.13,2013
428: Fuusa Sareta Shibuya de,Sega,0.13,2008
Kelly Slater's Pro Surfer,Activision,0.13,2002
Warriors of Might and Magic,3DO,0.13,2001
Drome Racers,Electronic Arts,0.13,2002
X-Men: Next Dimension,Activision,0.13,2002
Impossible Mission,System 3 Arcade Software,0.13,2007
NCIS,Ubisoft,0.13,2011
Cabela's Dangerous Hunts 2011,Activision,0.13,2010
Garfield's Fun Fest,Zoo Digital Publishing,0.13,2008
7th Dragon 2020-II,Sega,0.13,2013
Doukyuusei 2,NEC Interchannel,0.13,1997
SkullMonkeys,DreamWorks Interactive,0.13,1998
Cloudy With a Chance of Meatballs,Ubisoft,0.13,2009
Burnout,Acclaim Entertainment,0.13,2002
Zenses: Ocean,Game Factory,0.13,2008
Ben 10 Galactic Racing,D3Publisher,0.13,2011
Teenage Mutant Ninja Turtles: Arcade Attack,Ubisoft,0.13,2009
Baroque,Rising Star Games,0.13,2007
Left Brain Right Brain 2,Majesco Entertainment,0.13,2008
Dynasty Warriors: Gundam Reborn,Namco Bandai Games,0.13,2013
Kidz Sports: Crazy Golf,Data Design Interactive,0.13,2008
Little Battlers eXperience: Wars,Level 5,0.13,2013
Victorious: Time to Shine,D3Publisher,0.13,2011
NBA Ballers: Phenom,Midway Games,0.13,2006
Aikatsu! 365 Idol Days,Namco Bandai Games,0.13,2014
Petz Puppyz & Kittenz,Ubisoft,0.13,2011
Crash Tag Team Racing,Vivendi Games,0.13,2005
Freedom Fighters,Electronic Arts,0.13,2003
The Stronghold Collection,Take-Two Interactive,0.13,2009
Operation Abyss: New Tokyo Legacy,Nippon Ichi Software,0.13,2014
Transformer: Rise of the Dark Spark,Activision,0.13,2014
Mega Man X Collection,Capcom,0.13,2006
Detana TwinBee Yahho! Deluxe Pack,Konami Digital Entertainment,0.13,1995
Dragon Ball: Origins,Atari,0.13,2008
Last Ranker,Capcom,0.13,2010
Quantum Redshift,Microsoft Game Studios,0.13,2002
Smash Court Tennis Pro Tournament 2,Sony Computer Entertainment,0.13,2004
Eat Lead: The Return of Matt Hazard,D3Publisher,0.13,2009
Battleborn,Take-Two Interactive,0.13,2016
Legends of Wrestling II,Acclaim Entertainment,0.13,2002
Power Pro Kun Pocket 13,Konami Digital Entertainment,0.13,2010
Armed and Dangerous,LucasArts,0.13,2003
Jurassic: The Hunted,Activision,0.13,2009
Adventures to Go!,Zushi Games,0.13,2008
Conduit 2,Sega,0.13,2011
Supremacy MMA,505 Games,0.13,2011
World Soccer Winning Eleven 2002,Konami Digital Entertainment,0.13,2002
Geometry Wars: Galaxies,Vivendi Games,0.13,2007
Actua Tennis,Gremlin Interactive Ltd,0.13,1997
Horse Life,Game Life,0.13,2007
Monster Truck Madness,THQ,0.12,2003
Sonic Jam,Sega,0.12,1997
Puella Magi Madoka Magica Portable,Namco Bandai Games,0.12,2012
Ninja Reflex,Electronic Arts,0.12,2008
Peter Jacobsen's Golden Tee Golf,Infogrames,0.12,2000
Calling,Konami Digital Entertainment,0.12,2009
Marvel Avengers: Battle for Earth,Ubisoft,0.12,2012
Disney's Atlantis: The Lost Empire,THQ,0.12,2001
Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,Sega,0.12,1998
Charm Girls Club: My Fashion Mall,Unknown,0.12,N/A
Where the Wild Things Are,Warner Bros. Interactive Entertainment,0.12,2009
High Velocity: Mountain Racing Challenge,Atlus,0.12,1995
NHL 2K7,Take-Two Interactive,0.12,2006
Resident Evil,Capcom,0.12,2006
Capcom vs. SNK 2: Millionaire Fighting 2001,Capcom,0.12,2001
Criticom,Vic Tokai,0.12,1996
SCORE International Baja 1000: The Official Game,Activision,0.12,2008
Disney Sing It: Party Hits,Disney Interactive Studios,0.12,2010
Sleeping Dogs,Square Enix,0.12,2012
Mega Man X: Command Mission,Capcom,0.12,2004
Diner Dash: Sizzle & Serve,Eidos Interactive,0.12,2007
After Hours Athletes,Sony Computer Entertainment,0.12,2011
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,0.12,2016
Worms 3D,Sega,0.12,2003
Clock Tower: The First Fear,Human Entertainment,0.12,1997
Kidou Senshi Gundam Seed Battle Destiny,Namco Bandai Games,0.12,2012
Godzilla Unleashed: Double Smash,Atari,0.12,2007
Star Trek: Conquest,Bethesda Softworks,0.12,2007
"Kilari: Na-san, Mon Meilleur Ami",Konami Digital Entertainment,0.12,2006
Strikers 1945,Midas Interactive Entertainment,0.12,1998
Ochaken no Heya DS,MTO,0.12,2006
Obscure: The Aftermath,Playlogic Game Factory,0.12,2008
Galidor: Defenders of the Outer Dimension,Electronic Arts,0.12,2002
Tom Clancy's Splinter Cell Trilogy,Ubisoft,0.12,2011
WRC: FIA World Rally Championship,Black Bean Games,0.12,N/A
Fire ProWrestling S: 6Men Scramble,Human Entertainment,0.12,1996
Blackwater,505 Games,0.12,2011
Pryzm Chapter One: The Dark Unicorn,TDK Mediactive,0.12,2002
Gundam Battle Royale,Namco Bandai Games,0.12,2006
Solitaire & Mahjong,Crave Entertainment,0.12,2009
Zen-Nippon Pro Wrestling: Ouja no Kon,Human Entertainment,0.12,1999
NASCAR 2005: Chase for the Cup,Electronic Arts,0.12,2004
Homefront: The Revolution,Deep Silver,0.12,2016
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito, Futatabi",D3Publisher,0.12,2008
Guilty Gear X,Sammy Corporation,0.12,2001
Deadliest Catch: Sea of Chaos,Crave Entertainment,0.12,2010
One Piece: Pirate Warriors 2,Namco Bandai Games,0.12,2013
NHL 2002,Electronic Arts,0.12,2002
Disney's PK: Out of the Shadows,Ubisoft,0.12,2002
Mugen no Frontier: Super Robot Taisen OG Saga EXCEED,Namco Bandai Games,0.12,2010
Karaoke Revolution,Konami Digital Entertainment,0.12,2009
Echo Night,From Software,0.12,1998
Are You Smarter than a 5th Grader? Game Time,THQ,0.12,2009
Rocket League,505 Games,0.12,2016
Wild ARMs 5 (jp sales),505 Games,0.12,2006
Tom Clancy's Splinter Cell: Blacklist,Ubisoft,0.12,2013
Gladiator Begins,PQube,0.12,2010
Colony Wars III: Red Sun,Psygnosis,0.12,2000
Magic: The Gathering - Battlemage,Acclaim Entertainment,0.12,1997
The King of Fighters '94,SNK,0.12,1994
DS Yamamura Misa Suspense: Maiko Kogiku - Kisha Katherine - Sougiya Isa Akashi - Koto ni Maru Hana Sanrin: Kyoto Satujin Jinken File,Tecmo Koei,0.12,2008
Puzzle Quest 2,D3Publisher,0.12,2010
All Kamen Rider: Rider Generation,Namco Bandai Games,0.12,2011
The King of Fighters '98 Ultimate Match,Ignition Entertainment,0.12,2008
Onechanbara: Bikini Zombie Slayers,D3Publisher,0.12,2008
Puzzle Quest: Challenge of the Warlords,D3Publisher,0.12,2007
Angry Birds Star Wars,Activision,0.12,2013
Guardian's Crusade,Activision,0.12,1998
Undead Knights,Ubisoft Annecy,0.12,2009
Final Fantasy XIV: Heavensward,Square Enix,0.12,2015
Lemony Snicket's A Series of Unfortunate Events,Activision,0.12,2004
MotoGP 3 - Official Game of MotoGP,Namco Bandai Games,0.12,2003
Makai Kingdom: Chronicles of the Sacred Tome,Tecmo Koei,0.12,2005
The Ant Bully,Midway Games,0.12,2006
M&M's Kart Racing,Zoo Digital Publishing,0.12,2008
Bomberman Party Edition,Virgin Interactive,0.12,1998
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,Namco Bandai Games,0.12,2014
Dragon Ball Z: Battle of Z,Namco Bandai Games,0.12,2014
Eyeshield 21: Max Devil Power,Nintendo,0.12,2006
Summon Night 3,Namco Bandai Games,0.12,2012
O.D.T.: Escape... Or Die Trying,Psygnosis,0.12,1997
Madden NFL 06,Electronic Arts,0.12,2005
Escape The Museum,Majesco Entertainment,0.12,2009
Fuse (Insomniac),Electronic Arts,0.12,2013
Record of Agarest War Zero,Ghostlight,0.12,N/A
Lunar: Dragon Song,Rising Star Games,0.12,2005
Break 'Em All,D3Publisher,0.12,2005
WWE SmackDown vs Raw 2008,THQ,0.12,2007
MotoGP 14,Milestone S.r.l.,0.12,2014
Cars 2,Disney Interactive Studios,0.12,2011
Major League Baseball 2K8 Fantasy All-Stars,Take-Two Interactive,0.12,2008
Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,N/A,0.12,N/A
Mobile Suit Gundam Seed: Rengou vs. Z.A.F.T. Portable,Namco Bandai Games,0.12,2007
San Goku Shi V,Tecmo Koei,0.12,1996
Puzzle Kingdoms,Zoo Digital Publishing,0.12,2009
The Lord of the Rings: Aragorn's Quest,Warner Bros. Interactive Entertainment,0.12,2010
WRC 5: FIA World Rally Championship,Bigben Interactive,0.12,2015
Red Faction II,THQ,0.12,2003
Daikaijyuu Monogatari II,Hudson Soft,0.12,1996
Rock Band Track Pack Volume 2,MTV Games,0.12,2008
Voodoo Vince,Microsoft Game Studios,0.12,2003
Bodycount,Codemasters,0.12,2011
Gundam Memories: Tatakai no Kioku,Namco Bandai Games,0.12,2011
Megamind: Ultimate Showdown,THQ,0.12,2010
Kaijuu Busters,Namco Bandai Games,0.12,2009
Neopets Petpet Adventures: The Wand of Wishing,Sony Computer Entertainment,0.12,2006
Ferrari Challenge Trofeo Pirelli,System 3 Arcade Software,0.12,2008
Virtua Fighter CG Portrait Series Vol.4: Pai Chan,Sega,0.12,1995
Chase: Hollywood Stunt Driver,BAM! Entertainment,0.12,2002
The X Files: Resist or Serve,Vivendi Games,0.12,2004
Mobile Suit Gundam Side Story: Missing Link,Namco Bandai Games,0.12,2014
Saru! Get You! Million Monkeys,Unknown,0.12,N/A
Curious George,Namco Bandai Games,0.12,2006
Crush3D,Sega,0.12,2012
Zathura,Take-Two Interactive,0.12,2005
Lovely Lisa,DHM Interactive,0.12,2007
Medarot DS: Kabuto / Kuwagata Ver.,Rocket Company,0.12,2010
Mountain Sports,Activision,0.12,2009
Tenchu: Shadow Assassins,Ubisoft,0.12,2009
NPPL: Championship Paintball 2009,Activision Value,0.12,2008
Lost Planet 3,Capcom,0.12,2013
Making History: The Great War,Namco Bandai Games,0.12,2010
Shin Megami Tensei: Devil Survivor 2,Atlus,0.12,2015
The God of War Trilogy,Sony Computer Entertainment,0.12,2010
Dance Paradise,Mindscape,0.12,2010
Backyard Baseball '10,Atari,0.12,2009
Blazblue: Continuum Shift Extend,PQube,0.12,2011
Cel Damage,Electronic Arts,0.12,2001
Go! Sudoku,Sony Computer Entertainment,0.12,2005
Alice: Madness Returns,Electronic Arts,0.12,2011
SSX 3,Electronic Arts,0.12,2003
My Chinese Coach,Ubisoft,0.12,2008
DiRT 2,Codemasters,0.12,2009
Yamakawa Shuppansha Kanshuu: Shousetsu Nihonshi B,Namco Bandai Games,0.12,2007
The King of Fighters Collection: The Orochi Saga,Ignition Entertainment,0.12,2008
Atelier Annie: Alchemists of Sera Island,Gust,0.12,2009
Breakdown,Electronic Arts,0.12,2004
Rush,Midway Games,0.12,2006
Ecco the Dolphin,Sega,0.12,1992
The Legend of Heroes: Trails of Cold Steel II,Nippon Ichi Software,0.12,2014
Looney Tunes: Sheep Raider,Infogrames,0.12,2001
Yard Sale Hidden Treasures: Sunnyville,Konami Digital Entertainment,0.12,2010
Harvest Moon 2 GBC,Ubisoft,0.12,1999
Killer is Dead,Deep Silver,0.12,2013
Lost in Shadow,Konami Digital Entertainment,0.12,2010
Cory in the House,Disney Interactive Studios,0.12,2007
X2: Wolverine's Revenge,Activision,0.12,2003
McDROID,Namco Bandai Games,0.12,2011
Gallop Racer 2000,Tecmo Koei,0.12,2000
Showdown: Legends of Wrestling,Acclaim Entertainment,0.12,2004
Macross Triangle Frontier,Namco Bandai Games,0.12,2011
Chessmaster: The Art of Learning,Ubisoft,0.12,2008
Petz Fantasy: Moonlight Magic,Ubisoft,0.12,2010
Gundam Breaker 3,Namco Bandai Games,0.12,2016
My Farm Around the World,Atari,0.12,2008
Fat Princess: Fistful of Cake,Sony Computer Entertainment,0.12,2010
Zubo,Electronic Arts,0.12,2008
Street Hoops,Unknown,0.12,N/A
NFL QB Club 2001,Acclaim Entertainment,0.12,2000
Earthworm Jim 3D,Interplay,0.12,1999
Rocket: Robot on Wheels,Ubisoft,0.12,1999
Densha De Go! 64,Taito,0.12,1999
Godzilla: Destroy All Monsters Melee,Unknown,0.12,N/A
The Daring Game for Girls,Unknown,0.12,N/A
Conception II: Children of the Seven Stars,Screenlife,0.12,2013
Animal Genius,Ubisoft,0.12,2007
Sega Soccer Slam,Sega,0.12,2002
Zenses: Rainforest,Game Factory,0.12,2008
Dora the Explorer: Dora Saves the Mermaids,Take-Two Interactive,0.12,2008
Grand Theft Auto: San Andreas,Take-Two Interactive,0.12,2008
Phantasy Star Universe,Sega,0.12,2006
Skate City Heroes,Zoo Digital Publishing,0.12,2008
NASCAR Unleashed,Activision,0.12,2011
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,THQ,0.12,2005
College Hoops 2K6,Take-Two Interactive,0.12,2006
Mytran Wars,Deep Silver,0.12,2009
MX vs. ATV Untamed,THQ,0.12,2007
Prince of Persia: Rival Swords,Ubisoft,0.12,2007
Mahou Shoujo Lyrical Nanoha A's Portable: The Gears of Destiny,Namco Bandai Games,0.12,2011
Gungnir: Mayari no Gunshin to Eiyuu Sensou,Atlus,0.12,2011
Dodge Racing: Charger vs Challenger,Zushi Games,0.12,2009
Fate/Extra CCC,Marvelous Entertainment,0.12,2013
Rocksmith,Unknown,0.12,N/A
MTV Sports: Pure Ride,THQ,0.12,2000
Sonic Adventure 2,Sega,0.12,2001
Burning Road,FunSoft,0.12,1996
Slayers,Banpresto,0.12,1994
Super Robot Wars OG Saga: Masou Kishin - The Lord of Elemental,Namco Bandai Games,0.12,2010
IndyCar Series,Codemasters,0.12,2003
Space Chimps,Brash Entertainment,0.12,2008
Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart,Vivendi Games,0.12,2005
Famicom Mini: TwinBee,Konami Digital Entertainment,0.12,2004
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,Atari,0.12,2005
Gladiator: Sword of Vengeance,Acclaim Entertainment,0.12,2003
nail'd,Deep Silver,0.12,2010
PixelJunk Monsters Deluxe,Sony Computer Entertainment,0.12,2010
Tom Clancy's EndWar,Ubisoft,0.12,2008
Ultimate Card Games,Telegames,0.12,2003
Jikkyou Powerful Pro Yakyuu 8 Ketteiban,Konami Digital Entertainment,0.12,2001
Rubik's World,Game Factory,0.12,2008
Lost Magic,Ubisoft,0.12,2006
Wallace & Gromit: Curse of the Were-Rabbit,Konami Digital Entertainment,0.12,2005
DreamWorks Super Star Kartz,Activision,0.12,2011
Minute to Win It,Zoo Games,0.12,2010
The Bible Game,Crave Entertainment,0.12,2005
NFL Head Coach,Electronic Arts,0.12,2006
Pinball Hall of Fame: The Williams Collection,Crave Entertainment,0.12,2009
Medarot 4: Kabuto / Kuwagata Version,Imagineer,0.12,2001
Backyard Sports Football: Rookie Rush,Atari,0.12,2010
Sacred 3,Deep Silver,0.12,2014
Major League Baseball 2K6,Unknown,0.12,N/A
Vacation Isle: Beach Party,Warner Bros. Interactive Entertainment,0.12,2010
Fit in Six,Ubisoft,0.12,2011
Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces,Namco Bandai Games,0.12,2010
"Ed, Edd n Eddy: The Mis-Edventures",Midway Games,0.12,2005
Onimusha: Blade Warriors,Capcom,0.12,2003
Tecmo Bowl: Kickoff,Tecmo Koei,0.12,2008
Disney's Extreme Skate Adventure,Activision,0.12,2003
Akuji the Heartless,Eidos Interactive,0.12,1998
NBA 2K2,Sega,0.12,2002
7 Days to Die,Telltale Games,0.12,2016
Monster Jam: Path of Destruction,Activision,0.12,2010
Everybody Dance,Sony Computer Entertainment,0.12,2011
Psychonauts,THQ,0.12,2005
Power Gig: Rise of the SixString,Unknown,0.12,2010
Deus Ex: Human Revolution,Square Enix,0.12,2013
Jeremy McGrath Supercross World,Acclaim Entertainment,0.12,2002
Uta no * Prince-Sama: All Star,Broccoli,0.12,2013
HardBall 5,SPS,0.12,1996
Airborne Troops: Countdown to D-Day,Playlogic Game Factory,0.12,2005
MLB Inside Pitch 2003,Microsoft Game Studios,0.12,2003
ArmA III,Bohemia Interactive,0.12,2013
The Walking Dead: Season Two,Telltale Games,0.12,2014
Marvel Trading Card Game,Konami Digital Entertainment,0.12,2007
One Piece: Super Grand Battle! X,Namco Bandai Games,0.12,2014
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,THQ,0.12,2011
Self-Defense Training Camp,Ubisoft,0.12,2011
Battles of Prince of Persia,Ubisoft,0.12,2005
Deca Sports Extreme,Hudson Soft,0.12,2011
Cruis'n,Midway Games,0.12,2007
Hatsune Miku: Project Diva X,Sega,0.12,2016
Battle Arena Toshinden Remix,Sega,0.12,1994
Assassin's Creed Chronicles,Ubisoft,0.12,2016
Legends of Wrestling II,Acclaim Entertainment,0.12,2002
Tropico 5,Kalypso Media,0.12,2014
A.C.E.: Another Century's Episode Portable,Namco Bandai Games,0.12,2011
Dragon Quest Builders: Revive Alefgard,Square Enix,0.12,2016
Rodea the Sky Soldier,Nippon Ichi Software,0.12,2015
Peggle: Dual Shot,PopCap Games,0.12,2009
Jikkyou Powerful Pro Yakyuu 9,Konami Digital Entertainment,0.12,2002
Sniper Elite,Reef Entertainment,0.12,2010
Etrian Odyssey V,Atlus,0.12,2016
Jikkyou Powerful Pro Yakyuu 2014,Konami Digital Entertainment,0.12,2014
Barbie as The Island Princess,Activision,0.12,2007
Crime Killer,Interplay,0.12,1998
NPPL: Championship Paintball 2009,Activision Value,0.12,2008
Backyard Wrestling 2: There Goes the Neighborhood,Eidos Interactive,0.12,2004
Dementium II,SouthPeak Games,0.12,2010
Don Bradman Cricket 14,Tru Blu Entertainment,0.12,2015
USA Today Crossword Challenge,Destineer,0.12,2008
MegaTagmension Blanc + Neptune VS Zombies,Idea Factory International,0.12,2015
Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,Angel Studios,0.12,1994
SD Gundam G Generation-F.I.F,Namco Bandai Games,0.12,2001
Jaws: Ultimate Predator,Majesco Entertainment,0.12,2011
Yakuza Kiwami,Sega,0.12,2016
Raiden IV,Moss,0.12,2008
Deception IV: Blood Ties,Tecmo Koei,0.12,2014
The Walking Dead: Survival Instinct,Activision,0.12,2013
Rock Band: Metal Track Pack,MTV Games,0.12,2009
Charm Girls Club: My Perfect Prom,Electronic Arts,0.12,2009
DreamWorks Super Star Kartz,Activision,0.12,2011
Harukanaru Augusta 2: Masters,T&E Soft,0.12,1993
Castlevania: Curse of Darkness,Konami Digital Entertainment,0.12,2005
Spider-Man: Edge of Time,Activision,0.12,2011
Mobil 1 Rally Championship,Electronic Arts,0.12,2000
King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc,Spike,0.12,2002
Turok: Evolution,Acclaim Entertainment,0.12,2002
The Clique: Diss and Make Up,Warner Bros. Interactive Entertainment,0.12,2009
Love Live! School Idol Paradise,Kadokawa Games,0.12,2014
Rugrats: Totally Angelica,THQ,0.12,2001
Nightshade,Sega,0.12,2003
NFL Tour,Electronic Arts,0.12,2008
Ridge Racer Unbounded,Namco Bandai Games,0.12,2012
CSI: Crime Scene Investigation,Ubisoft,0.12,2004
The Lord of the Rings: Aragorn's Quest,Warner Bros. Interactive Entertainment,0.12,2010
Yogi Bear: The Video Game,D3Publisher,0.12,2010
Makai Shin Trillion,Idea Factory,0.12,2014
Buffy the Vampire Slayer: Chaos Bleeds,Vivendi Games,0.12,2003
Lost Horizon,Deep Silver,0.12,2010
Hanagumi Taisen Columns,Sega,0.12,1997
Tales of Destiny 2,Namco Bandai Games,0.12,2007
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Konami Digital Entertainment,0.12,2005
Power Pro Kun Pocket 14,Konami Digital Entertainment,0.12,2011
Get Up and Dance,O-Games,0.12,2011
Merv Griffin's Crosswords,THQ,0.12,2008
Rango: The Video Game,Electronic Arts,0.12,2011
Planet 51,Sega,0.12,2009
Ultimate Puzzle Games: Sudoku Edition,Telegames,0.12,2007
Tokyo Twilight Ghost Hunters,Aksys Games,0.12,2014
Deadpool,Activision,0.12,2015
UN Squadron,Capcom,0.12,1991
Tecmo Super Bowl,Tecmo Koei,0.12,1996
TMNT,Ubisoft,0.12,2007
Dora the Explorer: Journey to the Purple Planet,Global Star,0.12,2005
Lunar 2: Eternal Blue,Kadokawa Shoten,0.12,1998
NHL Powerplay '96,Virgin Interactive,0.12,1996
Thousand Arms,Atlus,0.12,1998
de Blob 2,THQ,0.12,2011
Arctic Thunder,Midway Games,0.12,2001
Hyperdimension Neptunia Re;Birth 3,Idea Factory International,0.12,2014
Barnyard,THQ,0.12,2006
Stolen Song,Sony Computer Entertainment,0.12,1998
Darkspore,Electronic Arts,0.12,2011
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,Ubisoft,0.12,2013
Armored Core: Verdict Day,From Software,0.12,2013
Yattaman DS: BikkuriDokkiri Daisakusen da Koron,Takara Tomy,0.12,2008
Harvey Birdman: Attorney at Law,Capcom,0.12,2008
Wipeout 2,Activision,0.12,2011
Dawn of Discovery,Ubisoft,0.12,2009
DEATH NOTE: Kira Game,Konami Digital Entertainment,0.12,2007
Sengoku Cyber: Fujimaru Jigokuhen,Sony Computer Entertainment,0.12,1995
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol.10: CR Shinseiki Evangelion: Kiseki no Kachi,D3Publisher,0.12,2007
ASH: Archaic Sealed Heat,Nintendo,0.12,2007
Happy Feet Two,Warner Bros. Interactive Entertainment,0.12,N/A
Brunswick Pro Bowling,Crave Entertainment,0.12,2011
Fantastic Four: Rise of the Silver Surfer,Take-Two Interactive,0.12,2007
Dorabase 2: Nettou Ultra Stadium,Namco Bandai Games,0.12,2009
Center Ring Boxing,JVC,0.12,1994
NHL 2K3,Sega,0.12,2002
Puzzler World 2,Ubisoft,0.12,2010
Die Hard: Vendetta,NDA Productions,0.12,2002
Sword Art Online: Hollow Fragment,Namco Bandai Games,0.12,2015
